equity_multiplier,target_elasticity,achieved_elasticity,calibration_ok,price_bin,n,median_optimal_multiple,mean_p_sale,share_at_grid_bound
0.5,-0.85,-0.8503846819108857,True,Q5,80,0.8400000000000001,0.7958084844934319,0.0625
0.5,-0.65,-0.6506861270817126,True,Q1,81,1.1,0.9843539717676044,0.0
0.5,-0.65,-0.6506861270817126,True,Q2,87,1.08,0.9790796577405289,0.011494252873563218
0.5,-0.65,-0.6506861270817126,True,Q3,72,1.1,0.9792393332288363,0.0
0.5,-0.65,-0.6506861270817126,True,Q4,80,1.06,0.9722706320332162,0.0
0.5,-0.65,-0.6506861270817126,True,Q5,80,0.8300000000000001,0.7959330410030309,0.0625
0.5,-0.45,-0.44981503973110554,True,Q1,81,1.1800000000000002,0.9743760859199544,0.0
0.5,-0.45,-0.44981503973110554,True,Q2,87,1.1400000000000001,0.9727805415895245,0.011494252873563218
0.5,-0.45,-0.44981503973110554,True,Q3,72,1.1700000000000002,0.9646733294313979,0.0
0.5,-0.45,-0.44981503973110554,True,Q4,80,1.1,0.9560760053379541,0.0
0.5,-0.45,-0.44981503973110554,True,Q5,80,0.8200000000000001,0.788022741289951,0.0625
1.0,-0.85,-0.8497894473161429,True,Q1,81,1.04,0.9940738489589457,0.0
1.0,-0.85,-0.8497894473161429,True,Q2,87,1.04,0.981732370196169,0.011494252873563218
1.0,-0.85,-0.8497894473161429,True,Q3,72,1.08,0.9924753378887701,0.0
1.0,-0.85,-0.8497894473161429,True,Q4,80,1.05,0.9893350383260776,0.0
1.0,-0.85,-0.8497894473161429,True,Q5,80,0.9299999999999999,0.8393430365732494,0.0125
1.0,-0.65,-0.6500153660877661,True,Q1,81,1.06,0.9916169913550444,0.0
1.0,-0.65,-0.6500153660877661,True,Q2,87,1.06,0.9806938950685105,0.011494252873563218
1.0,-0.65,-0.6500153660877661,True,Q3,72,1.09,0.9895019526345052,0.0
1.0,-0.65,-0.6500153660877661,True,Q4,80,1.07,0.9849642064596326,0.0
1.0,-0.65,-0.6500153660877661,True,Q5,80,0.9199999999999999,0.8389313303568844,0.0125
1.0,-0.45,-0.45020082351218405,True,Q1,81,1.1,0.986680427762946,0.0
1.0,-0.45,-0.45020082351218405,True,Q2,87,1.1,0.983077577592169,0.011494252873563218
1.0,-0.45,-0.45020082351218405,True,Q3,72,1.12,0.9847812770117975,0.0
1.0,-0.45,-0.45020082351218405,True,Q4,80,1.08,0.9779128556097458,0.0
1.0,-0.45,-0.45020082351218405,True,Q5,80,0.9099999999999999,0.8445610804812942,0.0125
1.5,-0.85,-0.8505429612442433,True,Q1,81,1.02,0.994234704670963,0.0
1.5,-0.85,-0.8505429612442433,True,Q2,87,1.04,0.9841344852349305,0.011494252873563218
1.5,-0.85,-0.8505429612442433,True,Q3,72,1.07,0.9945145657277076,0.0
1.5,-0.85,-0.8505429612442433,True,Q4,80,1.06,0.9942959990507797,0.0
1.5,-0.85,-0.8505429612442433,True,Q5,80,0.96,0.8795260355364392,0.0125
1.5,-0.65,-0.6500148726793296,True,Q1,81,1.04,0.9939202909634737,0.0
1.5,-0.65,-0.6500148726793296,True,Q2,87,1.06,0.9833029069898573,0.011494252873563218
1.5,-0.65,-0.6500148726793296,True,Q3,72,1.08,0.9932709334647976,0.0
1.5,-0.65,-0.6500148726793296,True,Q4,80,1.07,0.9910122816062525,0.0
1.5,-0.65,-0.6500148726793296,True,Q5,80,0.96,0.8765596083950878,0.0125
1.5,-0.45,-0.4491094419522724,True,Q1,81,1.08,0.9910491424146803,0.0
1.5,-0.45,-0.4491094419522724,True,Q2,87,1.08,0.9828970210934144,0.011494252873563218
1.5,-0.45,-0.4491094419522724,True,Q3,72,1.12,0.9904339577147953,0.0
1.5,-0.45,-0.4491094419522724,True,Q4,80,1.08,0.98748785580926,0.0
1.5,-0.45,-0.4491094419522724,True,Q5,80,0.94,0.8709384094876655,0.0125
2.5,-0.85,-0.8499381727746934,True,Q1,81,1.02,0.9963891362799493,0.0
2.5,-0.85,-0.8499381727746934,True,Q2,87,1.02,0.9854612011668055,0.011494252873563218
2.5,-0.85,-0.8499381727746934,True,Q3,72,1.06,0.996404294391132,0.0
2.5,-0.85,-0.8499381727746934,True,Q4,80,1.07,0.9967674945712574,0.0
2.5,-0.85,-0.8499381727746934,True,Q5,80,0.98,0.8898543472799176,0.025
2.5,-0.65,-0.6491828524578787,True,Q1,81,1.02,0.9953387286267947,0.0
2.5,-0.65,-0.6491828524578787,True,Q2,87,1.04,0.9848409662921149,0.011494252873563218
2.5,-0.65,-0.6491828524578787,True,Q3,72,1.08,0.9959172991137036,0.0
2.5,-0.65,-0.6491828524578787,True,Q4,80,1.08,0.9959629852927183,0.0
2.5,-0.65,-0.6491828524578787,True,Q5,80,0.98,0.8881427374742105,0.025
2.5,-0.45,-0.44962619518241026,True,Q1,81,1.04,0.9938742603707934,0.0
2.5,-0.45,-0.44962619518241026,True,Q2,87,1.06,0.9826238544302347,0.011494252873563218
2.5,-0.45,-0.44962619518241026,True,Q3,72,1.1,0.9938496798065715,0.0
2.5,-0.45,-0.44962619518241026,True,Q4,80,1.1,0.9946387012586353,0.0
2.5,-0.45,-0.44962619518241026,True,Q5,80,0.97,0.885592385475457,0.025
